epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1497,1.47196,2.10174,1.61028,0.57408,0.34659,0.41979,0.20327,1.60267,2.50762,1.88813,0.00065641,0.00065641,0.00065641
2,48.0544,1.47851,1.75773,1.61605,0.57475,0.65306,0.63157,0.34304,1.68937,1.88559,1.80922,0.00106111,0.00106111,0.00106111
3,67.6235,1.45863,1.55949,1.5849,0.66635,0.65306,0.6846,0.34337,1.79712,1.60148,1.93149,0.00120181,0.00120181,0.00120181
4,87.5287,1.3918,1.38399,1.54568,0.77752,0.64191,0.7244,0.41721,1.62671,1.30563,1.73994,0.000812,0.000812,0.000812
5,107.115,1.31159,1.21662,1.45103,0.83059,0.71837,0.85588,0.51746,1.47266,1.07965,1.55232,0.000416,0.000416,0.000416
